               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.019621,           0.0060953,                   0,             0.92111,              0.8125,             0.82163,             0.49687,            0.035128,            0.004559,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019729,           0.0061443,                   0,             0.96323,             0.84375,             0.87276,             0.50362,            0.035311,           0.0046852,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019952,           0.0060838,                   0,             0.92682,              0.8125,             0.82772,              0.5122,            0.034591,           0.0045536,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019268,           0.0062375,                   0,             0.92578,              0.8125,             0.83119,             0.50415,            0.035163,           0.0045102,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020078,           0.0061957,                   0,             0.89922,             0.83672,              0.8331,             0.51368,            0.034246,            0.004456,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018932,           0.0060372,                   0,             0.92394,              0.8125,             0.82828,             0.50816,            0.034539,           0.0045013,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019005,           0.0058106,                   0,             0.89961,             0.84021,               0.834,             0.51366,            0.034692,           0.0045879,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018554,           0.0061986,                   0,             0.95802,             0.84375,             0.87147,             0.51651,            0.034344,           0.0045841,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018703,            0.006274,                   0,             0.95767,             0.84375,             0.87223,             0.52602,            0.033888,           0.0045485,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018625,           0.0061384,                   0,             0.95716,             0.84375,             0.87235,             0.52398,            0.033721,           0.0045345,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018579,           0.0059727,                   0,             0.95469,             0.84375,             0.87496,             0.52316,            0.034021,            0.004524,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019019,           0.0060711,                   0,             0.95513,             0.84375,             0.87513,             0.52765,            0.033761,           0.0044656,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017715,           0.0058255,                   0,             0.95608,             0.84375,             0.87488,             0.51535,            0.034503,           0.0044794,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018122,           0.0061826,                   0,             0.95838,             0.84375,             0.87481,             0.51524,            0.034406,           0.0044627,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017934,           0.0060877,                   0,             0.95967,             0.84375,             0.87376,             0.52553,            0.034296,           0.0044782,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01818,           0.0061258,                   0,             0.95747,             0.84375,             0.87463,             0.52676,             0.03426,           0.0044346,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01796,           0.0059403,                   0,             0.95726,             0.84375,             0.87401,             0.51947,            0.034367,            0.004415,                   0,            0.000298,            0.000298,            0.000298
